Method,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless
GPTzip (GPT-2),enwik8_1KB,1024,188,1.46875,12.070711200000005,11.672959099999844,8.090347650766424e-05,8.366023487566346e-05,True
GPTzip (GPT-2),enwik8_10KB,10240,2328,1.81875,12.760463399999935,12.636846300000343,0.0007653033196270951,0.0007727897268165504,True
GPTzip (GPT-2),enwik8_100KB,102400,21294,1.66359375,38.03414510000039,37.83214570000018,0.002567594190515906,0.0025813034971473884,True
