Method,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless
FineZip (GPT-2),enwik8_1KB,1024,95,0.7421875,5.778218746185303,10.206474653816258,0.00016900753379139766,9.568068634108231e-05,True
FineZip (GPT-2),enwik8_10KB,10240,1326,1.0359375,89.25822067260742,82.916503327393,0.0001094086900501814,0.00011777661392015967,True
FineZip (GPT-2),enwik8_100KB,102400,13907,1.086484375,671.8759033679962,673.7425733320051,0.0001453486417811181,0.00014494593909516418,True
