Method,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless
LLMzip (GPT-2),1KB,1024,353,2.7578125,7.770649899999626,5.768392099999801,0.00012567320784842554,0.0001692954436991261,True
LLMzip (GPT-2),10KB,10240,1325,1.03515625,90.77516319999995,88.7742389999994,0.00010758036290702042,0.00011000516715215173,True
LLMzip (GPT-2),100KB,102400,13909,1.086640625,680.7527934,668.7518368000001,0.0001434533224788674,0.00014602763630121516,True
LLMzip (GPT-2),10KB,10240,2254,1.7609375,69.62968089999958,67.37323930000093,0.00014025089406951538,0.00014494812927897717,True
LLMzip (GPT-2),10KB.html,10240,1965,1.53515625,109.20932209999955,109.54788589999953,8.942116673023502e-05,8.914480566895214e-05,True
