Method,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless,win_len
LLMzip (GPT-2),10KB,10240,1325,1.03515625,90.99670210000113,88.94674210000085,0.00010731844973093677,0.00010979182339270757,True,511
LLMzip (GPT-2),10KB,10240,1379,1.07734375,50.26488379999864,50.73170079999909,0.00019428325028775386,0.00019249551751673532,True,256
LLMzip (GPT-2),10KB,10240,1892,1.478125,32.42689679999967,31.752183100001275,0.0003011581731126396,0.00030755759278799347,True,64
